precision,recall,threshold
0.3032608695652174,0.9893617021276596,0.15306603715456082
0.30359085963003263,0.9893617021276596,0.15342151887159497
0.30392156862745096,0.9893617021276596,0.1553259148601862
0.3042529989094875,0.9893617021276596,0.15554995296277307
0.3034934497816594,0.9858156028368794,0.1555645648019467
0.3038251366120219,0.9858156028368794,0.15633127734225458
0.3041575492341357,0.9858156028368794,0.15704200758083897
0.3044906900328587,0.9858156028368794,0.15846945876490268
0.3048245614035088,0.9858156028368794,0.16008847917874178
0.305159165751921,0.9858156028368794,0.16052514120520683
0.3054945054945055,0.9858156028368794,0.16086153396878775
0.30583058305830585,0.9858156028368794,0.16144197915846895
0.30616740088105726,0.9858156028368794,0.16173237110327687
0.3065049614112459,0.9858156028368794,0.16173482399847655
0.3068432671081678,0.9858156028368794,0.16333929028114594
0.30718232044198895,0.9858156028368794,0.16420385488272995
0.3075221238938053,0.9858156028368794,0.1675607234438602
0.3078626799557032,0.9858156028368794,0.16796344136637162
0.3082039911308204,0.9858156028368794,0.16858363048680738
0.30854605993340734,0.9858156028368794,0.1712973375192419
0.3088888888888889,0.9858156028368794,0.17164653582018188
0.3092324805339266,0.9858156028368794,0.17206671607907206
0.30957683741648107,0.9858156028368794,0.17237250047621497
0.30992196209587514,0.9858156028368794,0.1728920029579475
0.31026785714285715,0.9858156028368794,0.17315686036875788
0.3106145251396648,0.9858156028368794,0.17510157183442715
0.31096196868008946,0.9858156028368794,0.17567669013926507
0.3101903695408735,0.9822695035460993,0.17578973859765942
0.31053811659192826,0.9822695035460993,0.17669128229401518
0.3108866442199775,0.9822695035460993,0.17706960531021645
0.3112359550561798,0.9822695035460993,0.1779775009671356
0.31046119235095615,0.9787234042553191,0.1799148110823436
0.3108108108108108,0.9787234042553191,0.18040601438326953
0.3111612175873732,0.9787234042553191,0.18084513327553603
0.3115124153498871,0.9787234042553191,0.1813670745817046
0.31186440677966104,0.9787234042553191,0.1823004993815075
0.31221719457013575,0.9787234042553191,0.18246268428848575
0.31257078142695355,0.9787234042553191,0.18310879381973733
0.3129251700680272,0.9787234042553191,0.18338554392093734
0.3132803632236095,0.9787234042553191,0.18592695772094023
0.31363636363636366,0.9787234042553191,0.1862855492609416
0.31399317406143346,0.9787234042553191,0.18640395450087224
0.3143507972665148,0.9787234042553191,0.18676571224942376
0.314709236031927,0.9787234042553191,0.18797597526678006
0.3139269406392694,0.975177304964539,0.18811878710178268
0.3142857142857143,0.975177304964539,0.18816036565929892
0.3146453089244851,0.975177304964539,0.18867021717950647
0.3150057273768614,0.975177304964539,0.1888740925011327
0.31536697247706424,0.975177304964539,0.18964398814095323
0.3157290470723307,0.975177304964539,0.19031445051646745
0.3160919540229885,0.975177304964539,0.190868610490967
0.31645569620253167,0.975177304964539,0.1909331384411312
0.31682027649769584,0.975177304964539,0.1912110505030585
0.31718569780853517,0.975177304964539,0.19124021333351607
0.31755196304849886,0.975177304964539,0.19164824433273106
0.3179190751445087,0.975177304964539,0.19207239788610664
0.31828703703703703,0.975177304964539,0.19329817791740292
0.3186558516801854,0.975177304964539,0.19352774045823476
0.3190255220417633,0.975177304964539,0.19434686129271483
0.31939605110336816,0.975177304964539,0.1948911724068116
0.31976744186046513,0.975177304964539,0.1949746351835435
0.320139697322468,0.975177304964539,0.19748162951699277
0.32051282051282054,0.975177304964539,0.19822095963210906
0.3208868144690782,0.975177304964539,0.19878586255857256
0.3212616822429907,0.975177304964539,0.19881398929202537
0.3216374269005848,0.975177304964539,0.19881947810782882
0.32201405152224827,0.975177304964539,0.20029959390063584
0.3223915592028136,0.975177304964539,0.20419598753692325
0.3227699530516432,0.975177304964539,0.20616683071089514
0.32314923619271446,0.975177304964539,0.20697218994806166
0.3235294117647059,0.975177304964539,0.2069778265476269
0.32391048292108365,0.975177304964539,0.20769612283977223
0.3242924528301887,0.975177304964539,0.2080193861034822
0.3246753246753247,0.975177304964539,0.2111209409256486
0.32505910165484636,0.975177304964539,0.21132498619258705
0.3254437869822485,0.975177304964539,0.21177847296737845
0.32582938388625593,0.975177304964539,0.21373832766962086
