fpr,tpr,threshold
0.3161559888579387,0.7304964539007093,0.49943409736011957
0.31754874651810583,0.7304964539007093,0.4989641132525412
0.31754874651810583,0.7340425531914894,0.4987564456493606
0.32729805013927576,0.7340425531914894,0.4927678152060086
0.32729805013927576,0.7375886524822695,0.49241592531144124
0.3426183844011142,0.7375886524822695,0.48210441025951173
0.3426183844011142,0.7411347517730497,0.4816893819410755
0.34401114206128136,0.7411347517730497,0.48046285709503983
0.34401114206128136,0.7446808510638298,0.4804076940057632
0.34540389972144847,0.7446808510638298,0.47779681549581754
0.34540389972144847,0.74822695035461,0.4773918543494664
0.3467966573816156,0.74822695035461,0.47718980136567396
0.3467966573816156,0.75177304964539,0.47713739193162075
0.3593314763231198,0.75177304964539,0.4712682246625917
0.3593314763231198,0.7553191489361702,0.4706622524110776
0.3635097493036212,0.7553191489361702,0.46798889622948037
0.3635097493036212,0.7588652482269503,0.4662116824161247
0.36768802228412256,0.7588652482269503,0.4628118668334869
0.36768802228412256,0.7659574468085106,0.4621844218657525
0.3816155988857939,0.7659574468085106,0.4554518003238376
0.3816155988857939,0.7695035460992907,0.4543884425874949
0.38997214484679665,0.7695035460992907,0.4497667876417656
0.38997214484679665,0.7730496453900709,0.44934537864762375
0.3969359331476323,0.7730496453900709,0.4458079834642027
0.3969359331476323,0.776595744680851,0.44567705136100094
0.4011142061281337,0.776595744680851,0.4431541286568264
0.4011142061281337,0.7801418439716312,0.4428015675746912
0.403899721448468,0.7801418439716312,0.4411003429312743
0.403899721448468,0.7836879432624113,0.4398710829595044
0.4052924791086351,0.7836879432624113,0.43937542603687707
0.4052924791086351,0.7872340425531915,0.4388263314968109
0.41225626740947074,0.7872340425531915,0.4351217772306806
0.41225626740947074,0.7943262411347518,0.43428730419825173
0.4192200557103064,0.7943262411347518,0.4334755543548739
0.4192200557103064,0.8014184397163121,0.4324114566053941
0.4233983286908078,0.8014184397163121,0.4298031595865434
0.4233983286908078,0.8049645390070922,0.42924481529097824
0.4331476323119777,0.8049645390070922,0.4250285612022634
0.4331476323119777,0.8085106382978723,0.42354449646606973
0.4554317548746518,0.8085106382978723,0.41366008532254883
0.4554317548746518,0.8120567375886525,0.4117905477689187
0.4637883008356546,0.8120567375886525,0.40811442630053174
0.4637883008356546,0.8156028368794326,0.40765838544689403
0.46518105849582175,0.8156028368794326,0.40682250925247504
0.46518105849582175,0.8191489361702128,0.4061950458202074
0.46935933147632314,0.8191489361702128,0.4051926339807172
0.46935933147632314,0.8226950354609929,0.40392088451420727
0.4735376044568245,0.8226950354609929,0.4022048169130782
0.4735376044568245,0.8262411347517731,0.4020867617026665
0.47493036211699163,0.8262411347517731,0.40136959086068325
0.47493036211699163,0.8368794326241135,0.39784992503120475
0.4763231197771588,0.8368794326241135,0.3974910970103972
0.4763231197771588,0.8404255319148937,0.39650696023971455
0.4818941504178273,0.8404255319148937,0.39499989178504624
0.4818941504178273,0.8475177304964538,0.39280717877949367
0.48746518105849584,0.8475177304964538,0.391344521844304
0.48746518105849584,0.851063829787234,0.3905500094473776
0.49164345403899723,0.851063829787234,0.3897902775692354
0.49164345403899723,0.8546099290780141,0.38972262111155703
0.4958217270194986,0.8546099290780141,0.38764809042086307
0.4958217270194986,0.8581560283687943,0.3872185088431547
0.5,0.8581560283687943,0.38568764321082827
0.5,0.8617021276595744,0.38484704028143574
0.5097493036211699,0.8617021276595744,0.3792805650007452
0.5097493036211699,0.8652482269503546,0.3792211981547557
0.520891364902507,0.8652482269503546,0.3734213665258113
0.520891364902507,0.8687943262411347,0.3730136662993794
0.5236768802228412,0.8687943262411347,0.3721891223135729
0.5236768802228412,0.8723404255319149,0.37205990597703487
0.5376044568245125,0.8723404255319149,0.36599612429525763
0.5376044568245125,0.875886524822695,0.36537590044723633
0.5431754874651811,0.875886524822695,0.3611866040982951
0.5431754874651811,0.8829787234042553,0.35940262426461117
0.5473537604456824,0.8829787234042553,0.3552294541154749
0.5473537604456824,0.8900709219858156,0.3532681435365819
0.5501392757660167,0.8900709219858156,0.3529414924717808
0.5501392757660167,0.8936170212765957,0.3523039164470934
0.5515320334261838,0.8936170212765957,0.35058911394114584
0.5515320334261838,0.8971631205673759,0.34969429669235513
0.5543175487465181,0.8971631205673759,0.3489439841467945
0.5543175487465181,0.900709219858156,0.34828155189309845
0.5584958217270195,0.900709219858156,0.34718239718586863
0.5584958217270195,0.9042553191489362,0.34683503558746337
0.5668523676880223,0.9042553191489362,0.3434032519239098
0.5668523676880223,0.9078014184397163,0.3426653389692633
0.5696378830083565,0.9078014184397163,0.3414964712987185
0.5696378830083565,0.9148936170212766,0.34034647396188045
0.5710306406685237,0.9148936170212766,0.34018911050368916
0.5710306406685237,0.9184397163120568,0.33992492464441987
0.5738161559888579,0.9184397163120568,0.33696172920595274
0.5738161559888579,0.9219858156028369,0.3355464690254785
0.5807799442896936,0.9219858156028369,0.33292594966416467
0.5807799442896936,0.925531914893617,0.33285717317782976
0.596100278551532,0.925531914893617,0.3258964447901888
0.596100278551532,0.9290780141843972,0.32463276886379505
0.6002785515320335,0.9290780141843972,0.3237345918999166
0.6002785515320335,0.9326241134751773,0.32329291315085334
0.6253481894150418,0.9326241134751773,0.30840707676647466
0.6253481894150418,0.9361702127659575,0.3082834125633446
0.628133704735376,0.9361702127659575,0.3073273677803587
0.628133704735376,0.9397163120567376,0.3069478844436289
0.6406685236768802,0.9397163120567376,0.30049500504436477
0.6406685236768802,0.9432624113475178,0.29991141208758465
0.6573816155988857,0.9432624113475178,0.2939117808807924
0.6573816155988857,0.9468085106382979,0.2932440237974002
0.6643454038997214,0.9468085106382979,0.29009698686200575
0.6643454038997214,0.950354609929078,0.2899548340026026
0.6685236768802229,0.950354609929078,0.2891357776034658
0.6685236768802229,0.9539007092198581,0.2888959902588528
0.6754874651810585,0.9539007092198581,0.2870713773274439
0.6754874651810585,0.9574468085106383,0.2860317192203667
0.6935933147632312,0.9574468085106383,0.26683843892894243
0.6935933147632312,0.9609929078014184,0.2664999044844514
0.713091922005571,0.9609929078014184,0.2565494548417
0.713091922005571,0.9645390070921985,0.2562921940046123
0.7186629526462396,0.9645390070921985,0.25303934314639215
0.7186629526462396,0.9680851063829787,0.25231047615717145
0.7437325905292479,0.9680851063829787,0.24130033091928288
0.7437325905292479,0.9716312056737588,0.24110388499974128
0.7729805013927576,0.9716312056737588,0.22682108052134417
0.7729805013927576,0.975177304964539,0.2254992013901176
0.8370473537604457,0.975177304964539,0.18811878710178268
0.8370473537604457,0.9787234042553191,0.18797597526678006
0.8537604456824512,0.9787234042553191,0.1799148110823436
0.8537604456824512,0.9822695035460993,0.1779775009671356
0.8579387186629527,0.9822695035460993,0.17578973859765942
0.8579387186629527,0.9858156028368794,0.17567669013926507
0.8885793871866295,0.9858156028368794,0.1555645648019467
0.8885793871866295,0.9893617021276596,0.15554995296277307
0.8941504178272981,0.9893617021276596,0.1491107524386475
0.8941504178272981,0.9929078014184397,0.1490392398944609
0.8969359331476323,0.9929078014184397,0.1478605883164405
0.8969359331476323,0.9964539007092199,0.14729932035198362
0.9094707520891365,0.9964539007092199,0.1382581950379351
0.9094707520891365,1.0,0.1371160152566103
